,Site,Latitude,Longitude,Mean_annual_temperature,Precipitation_dryest,Precipitaion_wettest,Total_precipitation,Mean_Annual_percipitation
1,Tucson,31.63,-111.05,18.4,5,102,424,35
14,Chiricahua Mountains,31.93,-109.3,11.7,10,118,554,46
89,Sierra Prieta,34.59,-112.6,12.3,9,78,465,39
146,Tucson Mountains,32.22,-111.06,20.4,5,60,325,27
159,Mt. Lemmon,32.37,-110.69,13.6,11,111,647,54
241,Mt. Lemmon,32.39,-110.7,13.6,11,111,647,54
358,Mt. Lemmon,32.43,-110.74,13.6,11,102,620,52
373,Mt. Lemmon,32.39,-110.69,13.6,11,111,647,54
431,"Tucson, First/River/CAC",32.29,-110.94,20.6,5,56,310,26
481,"Tucson, Grant/Santa Cruz",32.29,-110.94,20.6,5,56,310,26
498,Santa Rita Experimental Range,31.83,-110.85,18.0,5,109,478,40
557,Tucson Mountains,32.23,-111.12,20.2,5,62,340,28
681,Tucson Mountains foothills,32.23,-111.12,20.2,5,62,340,28
749,"Tucson, central",32.22,-110.93,20.9,5,57,309,26
752,"Tucson, First/River/CAC",32.28,-110.97,20.6,5,56,310,26
929,Ajo,32.38,-112.87,21.9,2,37,210,18
1003,Phoenix,33.55,-112.02,22.1,2,31,228,19
1079,"Phoenix, west",33.58,-112.58,20.8,3,43,279,23
1087,Rock Springs,34.07,-112.14,20.3,5,49,381,32
1090,Casa Grande,32.89,-111.74,21.4,2,38,232,19
1380,Picacho Peak,32.63,-111.42,21.1,4,45,262,22
1430,Vail,32,-110.7,18.4,5,94,426,36
1480,Catalina,32.49,-110.91,17.6,8,73,448,37
1504,Lake Havasu,34.49,-114.31,22.9,1,20,142,12
1512,Fort Bowie,32.33,-109.49,17.0,7,56,302,25
1514,Dragoon,32.03,-110.04,16.1,6,85,394,33
1521,Willcox,32.26,-109.84,16.1,6,68,331,28
1546,Tubac,31.63,-111.05,18.4,5,102,424,35
1548,Sahuarita,32,-110.98,19.6,5,72,348,29
1559,Gila Bend,32.95,-112.73,22.9,1,28,165,14
1788,Mt. Lemmon,32.44,-110.79,11.7,12,116,693,58
1888,"Aravaipa, East",32.84,-110.33,15.2,10,81,502,42
1936,"Aravaipa, West",32.72,-110.64,19.5,5,57,367,31
1953,Tucson Mountains (Saguaro),32.25,-111.2,20.4,5,56,303,25
2422,"Tucson, Swan/Rillito",32.27,-110.89,20.4,5,59,333,28
2518,"Tucson, Grant/Santa Cruz",32.26,-111.01,20.6,5,55,296,25
